Sub	SubAnimacy	DO	Comp	sem_humq	sem_abstract	sem_freq	sem_physq	sem_size	sem_quant	sem_dist	sem_speed	k1_sem	k1_rank
1	0	1	1	1	0	0	0	0	0	0	0	humq	qual
0	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	1	0	0	0	0	0	freq	qual
1	1	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	0	0	1	0	0	0	0	physq	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	1	1	0	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	1	0	0	0	0	0	0	0	humq	qual
0	0	0	1	0	1	0	0	0	0	0	0	absract	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
0	0	0	1	0	0	0	1	0	0	0	0	physq	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	1	1	0	0	0	0	1	0	0	0	size	qual
0	0	1	0	0	0	0	0	0	1	0	0	quant	qual
1	0	0	0	0	0	1	0	0	0	0	0	freq	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	0	0	0	1	0	0	0	0	physq	qual
1	1	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	0	0	0	0	1	0	0	0	size	qual
1	0	0	1	0	0	0	0	0	0	0	0	qual	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	0	0	0	0	1	0	0	0	size	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	1	0	0	0	1	0	0	0	0	physq	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	0	0	0	1	0	0	0	0	physq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	1	1	0	0	0	0	0	0	0	0	taste	qual
0	0	0	1	0	0	0	1	0	0	0	0	physq	qual
0	0	0	0	0	0	0	1	0	0	0	0	physq	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	0	0	0	0	0	1	0	dist	qual
0	0	0	1	0	0	0	0	0	1	0	0	quant	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	0	0	0	1	0	0	0	0	physq	qual
0	0	1	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	1	1	0	0	0	0	0	0	0	1	speed	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	1	1	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	0	0	0	0	1	0	0	0	size	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	1	1	0	0	0	0	0	0	0	0	time	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	1	1	0	0	0	0	0	0	1	0	dist	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	0	0	1	0	dist	qual
0	0	0	1	0	0	0	0	0	0	1	0	dist	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	0	0	1	0	0	0	0	physq	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	0	0	0	1	0	0	0	size	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	0	0	1	0	0	0	0	physq	qual
1	0	0	0	0	0	0	0	0	1	0	0	quant	qual
1	0	1	1	0	0	0	0	1	0	0	0	size	qual
0	0	1	1	0	0	0	0	1	0	0	0	size	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	0	1	0	0	0	0	0	0	0	humq	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	1	0	0	0	0	0	0	0	humq	qual
1	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	0	0	0	1	0	0	0	0	physq	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	1	1	0	0	0	0	1	0	0	0	size	qual
0	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	1	1	0	0	0	0	1	0	0	0	size	qual
1	1	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	1	0	0	0	0	0	0	1	0	0	quant	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
1	0	0	1	0	0	0	0	0	0	1	0	dist	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	0	0	0	0	0	0	0	0	colour	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	0	0	0	0	0	0	0	1	0	dist	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	1	1	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	0	1	0	0	0	0	0	0	0	humq	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	0	0	0	1	0	0	0	0	physq	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	0	0	0	0	0	0	0	0	freq	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	1	0	0	0	0	physq	qual
1	0	1	1	0	0	0	1	0	0	0	0	physq	qual
0	0	0	0	0	0	0	1	0	0	0	0	physq	qual
1	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	1	1	0	0	0	0	0	0	1	0	dist	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	1	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	0	1	0	0	0	0	0	0	0	humq	qual
1	1	0	0	0	0	0	0	0	0	0	0	time	qual
0	0	0	1	0	0	0	1	0	0	0	0	physq	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	1	1	1	0	0	0	0	0	0	0	humq	qual
1	1	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	1	0	0	0	size	qual
0	0	1	0	0	0	0	0	0	1	0	0	quant	qual
1	0	1	1	0	0	0	0	1	0	0	0	size	qual
0	0	0	0	0	0	0	0	0	1	0	0	quant	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	0	0	0	0	0	1	0	0	quant	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	0	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	1	1	1	0	0	0	0	0	0	0	humq	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	1	0	0	0	0	0	0	0	humq	qual
0	0	0	0	1	0	0	0	0	0	0	0	humq	qual
1	1	1	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	1	0	0	0	0	0	0	0	humq	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	0	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
0	0	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
1	0	0	1	0	0	0	0	0	0	0	1	speed	qual
0	0	0	0	0	0	0	0	0	0	1	0	dist	qual
1	1	0	1	0	1	0	0	0	0	0	0	abstract	qual
