Center;Sub;Subject ;SubAnimacy;Verb;DO;Comp;sem_humq;sem_abstract;sem_freq;sem_physq;sem_size;sem_quant;sem_dist;sem_speed;k1_sem;k1_rank;;;;;;;
 куда как AdvComp;1;шхуна;0;чувствовать;1;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;живется;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;который;0;исполняется;0;1;0;0;1;0;0;0;0;0;freq;qual;;;;;;;
 куда как Adv;1;подельники;1;отделаться;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как Adv;1;что;0;быть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;он;1;подавать;1;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;ехать;0;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;чувствовать;0;1;0;1;0;0;0;0;0;0;absract;qual;;;;;;;
 куда как AdvComp;1;приватность;0;;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;говориться;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;1;заболевание;0;;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;поляк;1;оказаться;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как Adv;0;0;0;;1;0;0;0;0;0;0;1;0;0;quant;qual;;;;;;;
 куда как Adv;1;они;0;попадать;0;0;0;0;1;0;0;0;0;0;freq;qual;;;;;;;
 куда как AdvComp;0;0;0;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;комедия;0;заслуживать;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;1;оно;0;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;цены;0;;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;прослушать;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;кормить;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;выходить;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;стать;1;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как Adv;1;он;1;чуять;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;вопли;0;летать;0;0;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;1;церковь;0;защищать;0;1;0;0;0;0;0;0;0;0;qual;qual;;;;;;;
 куда как AdvComp;1;который;1;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;нравиться;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;1;вы;1;вести себя;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;операция;0;быть;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;я;1;уметь;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;подвалы;0;;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;сечение;0;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;релизм;0;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;она;0;сжиматься;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;1;необследованные;1;;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;средство;0;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;;1;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;1;задачка;0;;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;дурман;0;;1;1;0;0;0;0;0;0;0;0;taste;qual;;;;;;;
 куда как AdvComp;0;0;0;ухаживать;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
